title	time	revert	version	user
Coup_d'état 	2002-02-25 15:43:11	0	5	Conversion_script
Coup_d'état 	2002-01-25 12:02:27	0	4	Uriyan
Coup_d'état 	2002-01-24 13:59:04	0	3	Guppie
Coup_d'état 	2002-01-14 23:06:31	0	2	Dreamyshade
Coup_d'état 	2002-01-14 10:11:59	0	1	Guppie
History_of_Japan 	2002-11-02 14:08:25	0	31	62.211.221.165
History_of_Japan 	2002-11-02 14:06:08	0	30	62.211.221.165
History_of_Japan 	2002-09-23 12:16:29	0	29	Olivier
History_of_Japan 	2002-09-23 12:10:21	0	28	Andre_Engels
History_of_Japan 	2002-09-23 12:08:51	0	27	Brion_VIBBER
History_of_Japan 	2002-09-22 13:58:53	0	26	Andre_Engels
History_of_Japan 	2002-09-22 08:10:33	0	25	Hfastedge
History_of_Japan 	2002-09-22 08:09:46	0	24	Hfastedge
History_of_Japan 	2002-09-22 08:09:03	0	23	Hfastedge
History_of_Japan 	2002-09-13 03:48:30	0	22	--_April
History_of_Japan 	2002-09-12 19:00:01	0	21	--_April
History_of_Japan 	2002-09-12 18:44:49	0	20	--_April
History_of_Japan 	2002-09-12 17:08:23	0	19	--_April
History_of_Japan 	2002-09-12 17:03:47	0	18	--_April
History_of_Japan 	2002-09-02 01:59:43	0	17	213.253.40.136
History_of_Japan 	2002-09-02 01:56:43	0	16	213.253.40.136
History_of_Japan 	2002-09-02 01:54:41	0	15	213.253.40.136
History_of_Japan 	2002-08-22 13:51:49	1	14	--_April
History_of_Japan 	2002-08-10 07:27:21	0	14	Frank_Warmerdam
History_of_Japan 	2002-07-30 01:22:32	0	13	208.58.249.77
History_of_Japan 	2002-05-04 12:25:47	0	12	Mav
History_of_Japan 	2002-05-04 12:24:27	0	11	Mav
History_of_Japan 	2002-05-04 11:25:40	1	10	24.79.193.15
History_of_Japan 	2002-02-25 15:43:11	0	10	Bryan_Derksen
History_of_Japan 	2002-02-22 23:57:38	0	9	Conversion_script
History_of_Japan 	2001-12-03 14:32:00	0	8	193.133.134.xxx
History_of_Japan 	2001-12-01 18:07:26	0	7	130.153.141.xxx
History_of_Japan 	2001-12-01 18:06:40	0	6	130.153.141.xxx
History_of_Japan 	2001-12-01 18:05:57	0	5	130.153.141.xxx
History_of_Japan 	2001-12-01 18:04:24	0	4	130.153.141.xxx
History_of_Japan 	2001-12-01 17:33:24	0	3	130.153.141.xxx
History_of_Japan 	2001-11-21 18:46:20	0	2	Clasqm
History_of_Japan 	2001-09-26 14:12:12	0	1	Pinkunicorn
Japan/History 	2002-08-22 13:51:19	0	1	--_April
History_of_Science_and_Technology 	2002-02-25 15:51:15	0	2	Conversion_script
History_of_Science_and_Technology 	2001-12-14 20:31:04	0	1	Larry_Sanger
Individual 	2002-12-26 06:20:27	0	8	203.97.97.131
Individual 	2002-09-22 15:32:39	0	7	217.158.106.3
Individual 	2002-07-26 08:29:17	0	6	Tobias_Hoevekamp
Individual 	2002-02-25 15:43:11	0	5	Conversion_script
Individual 	2002-01-01 15:01:19	0	4	RitaBijlsma
Individual 	2002-01-01 14:51:41	0	3	RitaBijlsma
Individual 	2001-04-03 08:53:49	0	2	Larry_Sanger
Individual 	2001-04-03 08:43:54	0	1	Larry_Sanger
Harold_J._Reitsema 	2002-10-13 21:32:25	0	2	Mav
Harold_J._Reitsema 	2002-10-10 07:04:58	0	1	216.101.253.4
Group 	2002-11-02 21:44:13	0	7	AxelBoldt
Group 	2002-11-02 21:23:41	0	6	131.183.81.100
Group 	2002-11-02 21:23:04	0	5	131.183.81.100
Group 	2002-10-29 07:57:27	0	4	Toby_Bartels
Group 	2002-10-18 17:12:13	0	3	Ed_Poor
Group 	2002-03-12 16:38:50	0	2	AxelBoldt
Group 	2002-03-12 16:19:08	0	1	JeLuF
Slobodan_Milošević 	2002-11-29 20:27:11	0	35	Jogajo
Slobodan_Milošević 	2002-11-29 19:48:51	0	34	18.252.2.32
Slobodan_Milošević 	2002-11-28 02:29:11	1	32	Clutch
Slobodan_Milošević 	2002-11-28 02:08:38	0	33	18.252.2.32
Slobodan_Milošević 	2002-11-27 14:22:29	0	32	Clutch
Slobodan_Milošević 	2002-11-27 13:01:47	0	31	Derek_Ross
Slobodan_Milošević 	2002-11-27 00:33:03	0	30	194.117.133.118
Slobodan_Milošević 	2002-11-27 00:32:00	0	29	Zocky
Slobodan_Milošević 	2002-11-27 00:25:31	1	28	194.117.133.118
Slobodan_Milošević 	2002-11-27 00:23:28	1	25	Zocky
Slobodan_Milošević 	2002-11-27 00:21:35	0	28	Tinulim
Slobodan_Milošević 	2002-11-27 00:20:19	0	27	Eloquence
Slobodan_Milošević 	2002-11-27 00:16:03	1	26	Tinulim
Slobodan_Milošević 	2002-11-27 00:13:40	1	25	194.117.133.118
Slobodan_Milošević 	2002-11-27 00:11:05	0	26	Tinulim
Slobodan_Milošević 	2002-11-26 23:54:52	0	25	193.2.132.120
Slobodan_Milošević 	2002-11-26 23:53:41	0	24	193.2.132.120
Slobodan_Milošević 	2002-11-26 23:45:56	0	23	Tinulim
Slobodan_Milošević 	2002-11-26 16:47:40	0	22	Tinulim
Slobodan_Milošević 	2002-11-26 16:20:20	0	21	Tinulim
Slobodan_Milošević 	2002-11-26 16:14:13	0	20	Tinulim
Slobodan_Milošević 	2002-10-16 03:43:36	0	19	18.252.2.32
